vehicle_id,engine_temp_C,oil_pressure_psi,brake_pad_mm,battery_voltage_V,mileage_k,tire_pressure_psi,severity
VH-06717,97.0,20.3,5.3,12.24,74.0,32.2,Warning
VH-05374,95.6,49.9,5.2,12.21,38.0,33.8,Normal
VH-00328,85.6,33.8,8.6,14.05,154.0,32.6,Normal
VH-07623,97.6,32.2,10.1,12.08,84.0,33.3,Normal
VH-04777,84.6,40.0,6.3,11.58,32.0,32.0,Warning
VH-06145,91.4,37.3,9.7,13.58,167.0,40.2,Warning
VH-04657,95.6,32.2,7.3,11.83,175.0,32.5,Warning
VH-07453,82.6,39.7,4.8,12.15,26.0,34.4,Normal
VH-03159,89.4,47.5,7.8,12.51,9.0,34.8,Normal
VH-00167,98.1,30.9,9.5,12.4,181.0,40.6,Warning
VH-04877,99.6,50.2,5.3,12.44,44.0,32.0,Normal
VH-01958,92.7,33.7,9.8,12.62,97.0,31.1,Normal
VH-02268,80.2,35.1,3.0,12.02,139.0,30.7,Warning
VH-06602,100.1,48.2,5.9,12.51,149.0,36.5,Normal
VH-04409,81.4,38.5,11.3,,32.0,35.1,Normal
VH-03165,97.7,38.0,10.0,13.02,23.0,33.6,Normal
VH-00361,98.1,37.6,8.0,12.96,120.0,34.4,Normal
VH-02953,74.9,49.1,9.8,11.8,43.0,27.8,Warning
VH-02713,85.9,42.7,8.6,13.0,38.0,35.6,Normal
VH-07602,101.8,46.7,3.4,12.33,144.0,33.6,Warning
VH-00722,76.8,43.1,10.2,12.85,152.0,28.9,Normal
VH-03748,89.2,41.5,2.1,12.01,98.0,29.9,Critical
VH-04698,103.6,24.9,11.8,11.91,8.0,31.8,Warning
VH-03021,107.0,40.2,4.6,12.41,176.0,33.1,Normal
VH-05607,95.8,47.6,6.9,14.25,133.0,32.1,Normal
VH-07305,91.5,43.1,8.5,12.67,161.0,33.5,Normal
VH-05899,98.6,42.4,4.0,12.34,63.0,32.5,Warning
VH-01621,95.4,41.7,2.7,13.04,98.0,28.8,Warning
VH-07810,98.8,37.5,2.7,12.2,45.0,34.8,Warning
VH-05098,87.4,35.4,7.7,12.68,171.0,33.6,Normal
VH-03813,93.0,62.6,11.7,12.69,185.0,38.3,Normal
VH-02006,94.2,51.7,6.4,14.03,13.0,34.0,Normal
VH-03663,97.5,56.5,11.0,,47.0,28.8,Normal
VH-00315,92.6,43.6,8.4,12.29,133.0,33.3,Normal
VH-07374,93.4,52.8,4.7,12.47,130.0,39.2,Normal
VH-00214,92.4,29.7,4.8,12.43,20.0,35.0,Normal
VH-02136,97.0,32.0,2.3,13.48,31.0,27.9,Critical
VH-07835,85.5,46.7,2.9,13.26,36.0,32.7,Warning
VH-02173,85.3,33.8,8.3,,68.0,,Normal
VH-00658,104.7,45.1,4.8,12.82,19.0,37.7,Normal
VH-05719,98.8,,2.4,12.81,92.0,37.9,Critical
VH-02756,100.1,45.5,3.6,12.67,143.0,32.2,Warning
VH-06967,85.1,33.7,5.0,12.08,41.0,36.2,Normal
VH-04159,98.6,46.2,7.1,13.31,186.0,35.6,Normal
VH-06610,75.0,37.8,3.2,13.28,129.0,31.4,Warning
VH-05318,79.5,29.6,10.1,13.04,154.0,35.1,Normal
VH-06053,110.9,,4.9,13.45,54.0,33.7,Warning
VH-03416,95.9,24.3,6.8,12.6,93.0,33.7,Warning
VH-00336,89.6,49.3,10.2,12.95,32.0,29.9,Normal
VH-03844,95.7,47.6,12.0,11.77,82.0,32.1,Warning
VH-07420,96.7,55.8,5.6,12.98,92.0,34.4,Normal
VH-06546,94.8,46.3,2.4,12.87,57.0,28.0,Critical
VH-02109,96.7,44.8,9.1,11.98,23.0,35.0,Warning
VH-00746,109.4,51.3,3.8,,139.0,37.4,Warning
VH-04866,87.8,55.2,5.4,12.59,144.0,37.9,Normal
VH-03938,95.5,41.6,4.2,12.45,133.0,30.2,Normal
VH-03525,107.5,48.7,2.4,13.04,45.0,35.1,Critical
VH-04942,92.9,39.3,10.8,12.05,109.0,32.7,Normal
VH-06016,103.2,46.7,6.7,12.97,128.0,29.1,Normal
VH-03802,93.2,34.8,9.1,12.14,97.0,35.9,Normal
VH-05474,97.2,50.2,9.5,12.98,6.0,34.9,Normal
VH-06096,102.9,26.1,9.7,13.27,54.0,28.5,Normal
VH-01981,90.5,49.8,2.2,12.27,119.0,32.6,Critical
VH-04838,104.6,35.5,4.2,12.27,93.0,31.3,Normal
VH-03075,88.1,15.3,8.8,12.73,32.0,30.2,Critical
VH-03102,101.2,35.0,7.0,12.86,12.0,26.3,Warning
VH-07609,94.9,50.4,3.9,12.56,104.0,35.4,Warning
VH-06842,100.9,27.2,2.3,13.18,29.0,38.7,Critical
VH-07014,96.2,52.5,5.9,12.81,112.0,34.1,Normal
VH-00289,94.2,43.8,5.6,12.78,101.0,29.7,Critical
VH-05309,100.7,46.5,7.3,13.01,184.0,36.1,Normal
VH-01801,98.5,29.3,5.0,12.16,141.0,34.2,Normal
VH-04611,110.9,34.3,9.4,12.58,94.0,,Warning
VH-00920,92.5,44.5,11.1,13.24,163.0,29.5,Normal
VH-03448,90.7,24.0,12.0,12.63,22.0,26.8,Warning
VH-01919,83.3,54.7,8.0,12.44,192.0,32.5,Normal
VH-07742,78.6,45.2,6.3,13.28,122.0,31.7, normal 
VH-04875,91.4,32.3,11.4,12.4,66.0,32.7,Normal
VH-01715,96.0,46.7,8.0,12.93,36.0,36.0, normal 
VH-06780,104.2,26.8,7.1,13.19,197.0,26.7,Warning
VH-00513,94.3,35.1,6.4,12.85,69.0,30.7,Normal
VH-00845,97.9,48.8,5.1,12.44,14.0,33.2,Normal
VH-02301,87.9,50.1,6.9,12.17,24.0,35.4,Normal
VH-03340,92.2,33.0,11.6,11.9,50.0,32.3,Warning
VH-01342,98.5,38.3,11.9,12.58,67.0,35.2,Normal
VH-07831,112.0,41.7,8.7,12.72,121.0,37.2,Warning
VH-02050,101.1,39.2,7.6,12.69,49.0,33.9,Normal
VH-05999,83.9,40.8,7.5,12.76,103.0,38.3,Normal
VH-03061,96.6,39.5,7.7,12.48,47.0,29.9,Normal
VH-06366,108.7,37.7,6.1,12.67,116.0,27.4,Warning
VH-00073,99.0,41.6,8.9,12.2,87.0,33.0,Normal
VH-01489,96.4,30.7,7.4,12.88,63.0,35.7,Normal
VH-06400,103.7,51.7,6.7,12.5,65.0,,Normal
VH-00213,91.1,32.0,11.6,12.83,79.0,36.9,Normal
VH-06381,87.8,30.9,7.1,12.59,112.0,28.0,Normal
VH-00825,95.2,30.9,2.8,13.49,68.0,32.1,Warning
VH-05060,86.6,33.1,7.0,12.29,70.0,27.5,Warning
VH-01812,97.2,26.4,5.6,12.92,54.0,28.2,Normal
VH-00492,92.7,43.7,4.6,13.39,115.0,29.5,Normal
VH-07489,93.7,35.6,3.3,13.31,81.0,30.1,Warning
VH-02790,106.8,610.6955798998994,6.9,11.83,26.0,33.9,Warning
VH-06155,111.8,55.7,10.7,12.94,182.0,29.3,Critical
VH-05790,104.0,26.7,3.9,12.89,81.0,37.3,Warning
VH-03170,103.5,48.7,6.7,11.84,51.0,27.6,Warning
VH-00649,91.9,37.8,3.4,13.04,121.0,28.8,Warning
VH-02905,95.3,33.4,6.0,12.52,62.0,37.0,Normal
VH-03197,93.3,35.2,2.4,12.35,108.0,35.5,Critical
VH-05106,102.1,41.5,7.2,12.61,73.0,36.3,Normal
VH-04626,90.7,44.4,4.9,12.81,74.0,35.4,Normal
VH-06921,83.6,38.1,10.5,12.96,76.0,32.2,Normal
VH-00255,101.2,41.2,10.4,13.02,92.0,34.6,Normal
VH-01684,89.9,34.0,6.9,13.17,103.0,33.1,Normal
VH-00605,99.3,31.2,4.0,12.3,20.0,,Normal
VH-07753,94.9,52.2,5.2,12.63,146.0,40.9,Warning
VH-04490,109.1,57.1,2.3,12.22,175.0,30.3,Critical
VH-00868,90.3,35.8,5.2,,124.0,29.7, normal 
VH-07440,88.1,28.8,2.4,12.39,141.0,30.1,Critical
VH-00432,94.0,34.4,7.5,12.32,56.0,27.9,Warning
VH-07693,100.9,55.9,5.3,12.48,11.0,32.0,Normal
VH-03087,87.8,34.2,9.9,12.24,41.0,32.4,Normal
VH-00773,105.8,28.0,3.2,13.02,102.0,32.9,Warning
VH-03632,89.8,28.5,5.3,12.18,182.0,32.3,Normal
VH-00953,85.7,46.9,8.6,13.56,100.0,37.2,Normal
VH-06214,101.1,27.7,11.2,13.28,42.0,32.3,Normal
VH-03865,86.3,38.4,4.0,12.68,80.0,34.0,Warning
VH-06686,101.6,36.3,4.1,13.41,7.0,30.7,Normal
VH-00742,86.8,27.8,11.2,,140.0,32.6,Normal
VH-02057,80.5,30.0,3.4,12.28,77.0,30.8,Warning
VH-02667,92.8,36.4,6.5,13.22,182.0,30.2,Normal
VH-00116,96.9,44.3,3.2,12.11,162.0,30.5,Warning
VH-03576,97.7,44.5,4.2,11.89,79.0,30.2,Warning
VH-02908,85.4,38.7,11.1,13.57,51.0,33.7,Normal
VH-07120,99.9,38.9,2.7,11.89,135.0,31.6,Warning
VH-05016,87.5,40.3,6.7,12.51,140.0,32.2,Normal
VH-07471,98.0,43.2,11.8,12.74,42.0,32.3,Normal
VH-06515,83.4,48.4,5.0,14.16,156.0,27.6,Warning
VH-03854,95.7,34.5,7.4,13.65,102.0,36.4,Normal
VH-05771,99.7,41.4,4.9,13.45,167.0,34.6,Normal
VH-03199,91.7,40.8,5.0,11.41,150.0,36.4,Warning
VH-04207,102.1,38.6,8.4,12.79,10.0,32.1,Normal
VH-07010,83.4,31.8,11.4,12.35,9.0,31.0,Normal
VH-01785,104.7,41.3,10.3,13.14,62.0,36.2,Normal
VH-07547,93.2,49.7,7.9,12.33,150.0,,Normal
VH-03609,94.7,45.3,2.4,12.28,111.0,36.6,critical
VH-00737,101.5,51.9,11.4,12.07,45.0,29.4,Normal
VH-06267,104.1,28.3,9.1,,138.0,34.1,Normal
VH-00080,98.7,34.1,11.5,12.73,178.0,26.8,Warning
VH-04979,89.3,31.3,10.1,12.41,127.0,34.5,Normal
VH-03009,100.9,42.5,9.7,12.11,103.0,32.3,Normal
VH-04244,96.8,38.2,3.1,11.97,151.0,29.4,Warning
VH-07561,90.1,29.2,7.5,13.16,151.0,31.1,Normal
VH-02017,89.7,47.2,10.0,12.45,180.0,,Normal
VH-07787,99.8,36.5,11.8,13.1,182.0,31.2,Normal
VH-04358,91.4,44.0,11.8,12.86,34.0,30.4,Normal
VH-06994,100.6,35.5,5.2,12.3,177.0,,Normal
VH-00173,85.2,39.2,3.6,13.08,136.0,32.4,Warning
VH-04124,101.0,37.8,11.6,11.98,177.0,34.9,Warning
VH-07290,109.2,38.5,5.8,12.28,34.0,35.6,Warning
VH-01166,114.7,33.0,8.4,12.49,172.0,31.9,Warning
VH-00909,86.4,25.0,7.2,12.5,10.0,30.5,Normal
VH-01719,84.3,,8.8,13.02,25.0,27.5,Warning
VH-03690,100.7,51.6,4.3,12.52,95.0,33.1,Normal
VH-05953,98.4,34.4,9.2,12.77,27.0,38.9,Normal
VH-03666,95.1,40.8,11.8,12.66,29.0,34.8,Normal
VH-02969,94.7,55.5,8.1,13.33,195.0,35.8,Normal
VH-01978,107.6,39.8,4.2,13.14,185.0,32.0,Normal
VH-02368,87.9,52.7,2.2,12.15,81.0,36.5,Critical
VH-02510,90.2,35.6,10.5,,30.0,29.1,Normal
VH-01974,84.3,38.8,7.2,12.61,175.0,31.5,Normal
VH-01945,80.6,39.2,10.1,13.25,174.0,31.1,Normal
VH-01420,93.3,33.4,6.3,12.75,133.0,28.3,Normal
VH-03421,94.1,33.2,9.0,,181.0,32.6,Normal
VH-01536,101.0,39.1,9.6,12.38,79.0,30.7,Normal
VH-03782,87.4,45.2,11.1,12.46,195.0,35.6,Normal
VH-02635,104.7,34.1,2.1,13.08,184.0,36.6,Critical
VH-03362,96.7,31.4,8.4,,199.0,36.5,Normal
VH-06041,94.5,28.2,6.3,12.21,190.0,32.6,Normal
VH-00184,98.4,39.0,2.8,12.32,11.0,29.2,Warning
VH-04067,94.4,35.6,9.8,11.98,141.0,35.4,Warning
VH-02708,97.4,44.4,6.1,12.37,66.0,32.9,Normal
VH-03521,95.3,36.7,4.2,13.48,83.0,32.2,Normal
VH-06707,92.3,,3.5,12.62,161.0,28.8,Warning
VH-03455,88.2,38.1,9.2,12.9,85.0,33.3,Normal
VH-06598,86.9,43.1,4.7,12.77,149.0,30.7,Normal
VH-01071,86.1,18.8,8.3,,27.0,30.7,Warning
VH-02638,100.3,46.8,9.6,12.3,30.0,33.2,Normal
VH-02316,92.7,50.0,10.0,12.03,9.0,32.8,Normal
VH-02600,90.6,48.7,10.1,12.77,140.0,,Normal
VH-07829,91.5,43.7,10.0,12.75,74.0,29.5,Normal
VH-03644,92.8,31.6,5.6,11.77,142.0,34.7,Warning
VH-00932,104.3,32.1,7.5,11.68,197.0,35.6,Warning
VH-01649,89.4,44.4,7.7,11.95,123.0,26.3,Warning
VH-00355,96.9,20.9,8.5,11.61,17.0,33.9,WARNING
VH-00067,91.3,31.3,4.5,12.68,80.0,30.4,Normal
VH-06213,96.7,44.2,4.1,12.45,48.0,34.3,Normal
VH-04344,90.5,24.6,6.4,13.35,59.0,31.0,Warning
VH-07666,93.9,44.6,11.2,12.18,83.0,31.0,Critical
VH-05233,111.4,44.6,6.2,12.56,176.0,32.9,Warning
VH-03977,93.0,46.0,8.6,11.96,194.0,36.1,Warning
VH-01817,102.5,39.9,3.6,12.91,163.0,34.9,Warning
VH-03702,89.1,31.2,2.5,12.13,82.0,34.0,Warning
VH-02831,102.8,31.3,5.1,14.01,85.0,38.2,Critical
VH-01252,88.6,45.0,3.8,12.74,49.0,32.2,Warning
VH-05272,90.0,41.5,3.9,12.97,105.0,31.4,Warning
VH-05792,91.5,44.3,2.6,12.38,70.0,35.1,Warning
VH-04302,89.2,36.6,7.4,12.0,136.0,33.3,Normal
VH-01670,94.3,31.0,6.0,12.72,47.0,31.4, normal 
VH-01125,92.8,43.3,5.7,12.12,18.0,31.3,Normal
VH-06557,93.1,55.0,10.2,13.69,57.0,35.7,Normal
VH-00243,83.3,51.8,11.8,12.16,78.0,38.5,Normal
VH-02971,94.6,21.2,2.9,12.89,51.0,31.5,Warning
VH-02592,98.8,50.3,6.8,11.76,118.0,33.8,Warning
VH-04466,94.9,34.7,2.6,13.17,190.0,34.4,Warning
VH-01216,80.5,28.6,6.1,11.81,161.0,32.0,Warning
VH-06326,94.0,34.3,6.8,12.39,19.0,21.6,Warning
VH-02806,108.8,37.9,5.7,13.03,56.0,36.2,Warning
VH-05194,106.3,34.5,2.7,12.51,113.0,37.0,Warning
VH-02955,86.9,52.8,10.1,12.23,77.0,29.9,Normal
VH-04455,114.8,,3.6,12.35,17.0,37.0,Warning
VH-07339,86.7,31.3,10.0,13.31,179.0,36.2,Normal
VH-02805,95.9,29.9,9.4,12.15,93.0,38.8,Normal
VH-04715,108.1,33.1,6.9,13.24,71.0,31.2,Warning
VH-07522,98.4,35.0,11.9,12.92,96.0,35.6,Normal
VH-05919,92.6,35.6,8.4,11.75,151.0,29.5,Warning
VH-02736,87.4,41.2,9.0,12.58,17.0,30.7,Normal
VH-06450,101.4,41.1,8.9,12.73,28.0,32.1,Normal
VH-05363,92.4,41.4,11.0,12.73,16.0,35.4,Normal
VH-03894,100.0,33.2,10.0,13.48,149.0,26.5,Warning
VH-07519,83.0,34.9,9.4,12.34,29.0,34.8,Normal
VH-06972,85.7,35.0,10.3,12.97,110.0,32.6,Normal
VH-00060,81.5,36.7,6.8,12.94,66.0,25.9,Warning
VH-02128,98.4,49.9,2.9,12.77,92.0,32.9,Warning
VH-05220,102.4,28.0,3.9,12.57,148.0,33.5,Warning
VH-06617,94.7,50.8,4.2,11.72,83.0,34.6,Warning
VH-02162,105.4,39.6,10.4,12.31,190.0,33.2,Normal
VH-07361,91.7,38.0,8.6,12.28,38.0,31.1,Normal
VH-06351,88.5,39.4,11.2,12.07,137.0,27.7,Warning
VH-07726,93.3,26.8,10.2,12.85,182.0,36.6,Normal
VH-04309,76.0,41.1,7.5,13.09,15.0,31.9,Normal
VH-00876,94.9,42.1,9.4,12.44,173.0,34.3,Normal
VH-03091,89.7,37.0,5.2,13.32,184.0,35.7,Normal
VH-02958,96.5,40.8,2.4,12.92,83.0,31.5,Critical
VH-02152,88.2,,8.4,13.18,194.0,37.7,Normal
VH-05141,72.0,54.3,6.6,12.3,19.0,30.3,Warning
VH-06817,94.6,50.1,6.1,11.89,36.0,29.7,Warning
VH-00542,97.0,37.9,8.0,11.53,12.0,32.3,Warning
VH-06417,93.9,35.4,10.8,12.91,83.0,31.8,Normal
VH-05606,93.3,47.5,6.2,12.11,50.0,,Normal
VH-05641,80.1,41.5,6.2,12.25,63.0,33.7,Normal
VH-06285,84.8,37.5,7.8,12.64,182.0,39.4,Normal
VH-07508,89.0,32.7,4.0,13.63,88.0,36.8,Warning
VH-07132,93.5,48.8,6.4,13.07,55.0,35.1,Normal
VH-06680,99.6,31.5,6.0,12.81,94.0,34.3,Normal
VH-03217,104.7,54.2,3.5,13.25,84.0,36.0,Warning
VH-06520,103.5,57.2,11.1,13.34,23.0,36.7,Normal
VH-06517,87.9,32.5,7.3,13.29,48.0,28.0,Normal
VH-07018,88.5,51.5,7.2,12.04,163.0,34.3,Normal
VH-07968,88.4,31.5,10.4,12.22,143.0,32.4, normal 
VH-01177,96.2,49.5,6.7,12.58,171.0,31.6,Normal
VH-01490,90.1,45.8,2.0,12.36,116.0,30.5,Critical
VH-00945,92.2,54.0,8.3,12.89,89.0,32.2, normal 
VH-01077,117.5,35.8,11.6,12.49,128.0,31.3,Warning
VH-00368,96.6,42.3,9.6,13.17,40.0,33.4,Normal
VH-00562,95.4,36.4,3.4,11.96,175.0,34.4,Warning
VH-01449,90.3,32.9,9.9,12.77,177.0,40.0,Normal
VH-07108,99.7,45.6,7.6,13.38,153.0,27.9,Warning
VH-07463,88.6,43.5,6.7,12.54,169.0,35.0,Normal
VH-00699,93.4,29.1,9.2,12.86,28.0,32.3,Normal
VH-01298,85.7,32.6,2.2,12.61,133.0,31.6,Critical
VH-01363,101.9,,5.6,12.03,129.0,30.5,Normal
VH-04847,100.0,46.1,2.7,11.95,47.0,28.6,Warning
VH-01379,106.8,42.0,8.5,12.78,80.0,35.7,Normal
VH-07011,90.1,48.9,5.6,12.27,84.0,32.0,Normal
VH-05928,99.7,38.8,4.7,12.48,46.0,35.0,Normal
VH-00152,81.6,34.1,7.0,12.81,103.0,35.3,Normal
VH-03341,101.1,39.8,8.3,13.02,180.0,33.1,Normal
VH-07990,96.1,22.3,6.8,12.12,165.0,35.9,Warning
VH-04633,85.6,56.9,9.5,12.91,68.0,34.7, normal 
VH-00228,88.2,34.6,6.6,11.84,106.0,30.9,WARNING
VH-06190,93.6,37.3,10.2,11.97,170.0,31.8,Warning
VH-01953,89.8,48.2,8.6,,31.0,30.7,Normal
VH-07813,100.7,28.6,6.7,11.91,111.0,27.9,Warning
VH-01899,86.4,35.6,11.1,12.08,118.0,30.3,Normal
VH-04748,86.6,37.2,11.5,12.96,122.0,36.5,Normal
VH-04094,99.4,43.1,4.1,12.07,154.0,33.2,Normal
VH-03715,88.1,35.7,8.9,,95.0,35.2,Normal
VH-04408,94.6,34.5,12.0,12.04,150.0,37.1,Normal
VH-02420,80.1,44.8,2.9,12.73,43.0,35.7,Warning
VH-01130,87.8,40.7,6.3,12.31,121.0,29.0,Normal
VH-00130,91.9,33.5,2.6,12.75,46.0,30.6,Warning
VH-05387,92.9,52.0,7.2,12.66,129.0,30.6,Normal
VH-01404,90.4,29.4,5.7,12.98,156.0,29.6,Normal
VH-00493,98.6,45.5,8.9,12.76,17.0,38.1,Normal
VH-07248,102.3,51.5,11.8,13.34,11.0,31.1,Normal
VH-01172,94.1,41.6,5.7,12.64,77.0,37.2,Normal
VH-02946,107.8,40.3,9.4,13.8,42.0,33.8,Normal
VH-05967,94.3,35.4,7.1,12.48,35.0,,Normal
VH-01598,107.6,36.2,4.1,12.96,178.0,33.4,Normal
VH-02785,95.8,19.7,9.6,12.23,110.0,28.4,Warning
VH-03853,92.2,41.9,4.0,12.07,14.0,31.8,Normal
VH-00927,98.3,36.1,2.2,12.4,54.0,30.9,Critical
VH-02896,102.8,35.2,3.4,12.43,10.0,34.6,Warning
VH-07892,91.9,32.3,6.1,12.6,69.0,26.4,WARNING
VH-06187,95.5,35.0,2.6,,29.0,33.4,Warning
VH-02247,89.0,39.4,3.8,12.08,115.0,33.3,Warning
VH-05210,98.0,45.6,5.6,12.44,142.0,,Normal
VH-01376,99.4,,7.5,12.92,39.0,,Normal
VH-01102,99.8,33.9,4.6,12.34,194.0,30.2,Normal
VH-02264,98.8,43.4,2.7,12.27,65.0,30.8,Warning
VH-06361,109.8,34.2,4.3,12.82,56.0,31.5,Warning
VH-06194,91.4,45.4,7.5,12.71,27.0,31.3,Normal
VH-00057,107.0,50.1,9.7,12.89,70.0,31.2,Normal
VH-06621,86.3,37.6,3.6,12.88,183.0,34.3,Warning
VH-02496,94.0,37.4,9.8,13.27,192.0,34.0,Normal
VH-07903,90.8,45.1,8.4,12.58,121.0,36.2,Normal
VH-02532,97.0,53.8,4.0,12.43,66.0,29.8,Warning
VH-03192,95.7,30.8,8.0,12.0,103.0,32.2,Warning
VH-02063,98.0,43.4,9.5,12.09,150.0,33.1,Normal
VH-06823,103.5,51.7,5.0,11.78,47.0,34.3,Warning
VH-07755,92.7,43.5,4.4,12.33,171.0,35.3,Normal
VH-01402,93.4,35.7,7.1,14.01,104.0,30.3,Normal
VH-03769,101.0,39.3,6.1,12.03,101.0,,Normal
VH-02370,86.2,43.2,5.0,11.15,18.0,31.2,Critical
VH-03028,88.3,51.3,10.1,11.46,49.0,36.1,Warning
VH-03916,92.5,36.7,4.2,12.54,50.0,32.1,Normal
VH-05619,98.8,49.6,8.3,11.6,45.0,31.6,Warning
VH-02276,84.8,54.3,7.5,,146.0,28.4,Normal
VH-06409,89.8,39.5,5.5,,138.0,29.8,Normal
VH-01793,92.6,25.7,5.6,12.92,66.0,35.2,Normal
VH-05794,87.1,,6.5,13.01,78.0,31.2,Normal
VH-05472,98.8,38.1,3.4,12.49,58.0,30.9,Warning
VH-03708,93.9,44.5,11.8,12.34,198.0,32.2,Normal
VH-02731,84.6,15.0,3.3,12.4,84.0,31.7,Critical
VH-06456,96.0,39.2,7.6,13.06,21.0,33.4,Normal
VH-04527,96.5,42.0,8.0,12.81,184.0,34.9,Normal
VH-05604,94.3,39.3,6.7,12.78,169.0,33.6,Normal
VH-04120,89.8,43.2,4.9,12.54,112.0,32.2, normal 
VH-00041,99.3,41.0,3.7,13.17,85.0,26.9,Warning
VH-02816,83.3,32.7,11.6,12.07,18.0,34.2,Normal
VH-02738,114.7,29.5,10.4,13.22,189.0,35.8,Warning
VH-00838,109.7,28.0,10.8,13.13,193.0,35.7,Warning
VH-03618,97.8,36.5,10.6,13.17,75.0,37.7,Normal
VH-06374,89.7,43.7,11.8,12.97,113.0,39.2,Normal
VH-07539,93.4,46.5,8.4,12.37,27.0,38.2,Normal
VH-06591,108.7,46.7,11.1,12.13,166.0,30.8,Warning
VH-01729,95.3,58.7,7.1,12.59,85.0,40.8,Warning
VH-04526,93.1,38.1,6.1,13.68,196.0,37.1, normal 
VH-00587,88.3,34.3,10.2,12.56,84.0,35.4,Critical
VH-05841,92.8,41.5,7.7,,168.0,34.2,Normal
VH-06257,95.1,36.3,10.1,13.56,57.0,39.6,Normal
VH-04955,111.5,31.2,6.2,12.59,120.0,30.4,Warning
VH-02885,97.4,38.1,7.4,12.12,122.0,34.6,Normal
VH-02962,97.4,29.1,2.1,12.24,11.0,34.9,critical
VH-04662,99.5,,5.6,13.05,188.0,34.1,Normal
VH-05613,106.6,36.8,8.7,13.13,62.0,33.4,Normal
VH-02075,84.7,19.9,10.6,12.17,81.0,30.3,Warning
VH-07295,97.2,44.0,11.3,12.7,55.0,33.6,Normal
VH-05235,93.1,33.7,7.3,12.58,130.0,34.5,Normal
VH-01764,86.6,47.4,9.2,12.67,43.0,36.1,Normal
VH-00713,94.9,40.7,10.7,13.26,47.0,37.6,Normal
VH-05083,93.2,55.2,9.5,12.52,138.0,34.2,Normal
VH-00195,87.8,35.0,10.0,12.99,128.0,34.4,Normal
VH-01873,85.4,36.1,5.8,13.12,99.0,30.3,Normal
VH-02016,94.8,41.5,8.2,12.59,161.0,32.1,Normal
VH-04970,93.6,39.2,8.4,12.96,15.0,31.4,Normal
VH-01090,90.2,30.3,8.1,13.66,60.0,32.4,Normal
VH-01447,107.1,35.5,2.7,12.36,141.0,37.2,Warning
VH-07590,87.3,28.4,11.3,12.92,130.0,35.1,Normal
VH-07572,90.5,46.5,8.9,,13.0,32.3,Normal
VH-05855,92.8,40.8,11.4,13.54,143.0,34.4,Normal
VH-01644,83.1,46.2,8.3,12.42,173.0,32.4,Normal
VH-03910,105.8,27.3,11.5,12.84,181.0,32.3,Normal
VH-07713,89.4,58.3,4.1,13.34,158.0,,Normal
VH-07348,99.3,30.8,10.5,12.66,174.0,32.8,Normal
VH-05027,93.6,49.2,11.9,12.41,164.0,35.0,Normal
VH-06014,88.1,41.9,9.0,12.68,119.0,35.6,Normal
VH-07406,79.9,30.9,4.9,12.32,79.0,35.8,Normal
VH-04608,85.9,31.7,9.3,12.19,103.0,30.7,Normal
VH-02425,104.1,,8.1,12.78,112.0,37.0, normal 
VH-00474,100.0,41.6,7.7,13.51,133.0,34.8,Warning
VH-00397,96.8,44.0,8.4,12.3,192.0,33.6,Normal
VH-07711,103.3,49.9,9.6,12.63,158.0,31.1, normal 
VH-02845,86.6,31.0,6.1,12.27,186.0,36.0,Normal
VH-00369,101.8,32.2,5.2,,154.0,26.1,Warning
VH-02697,96.2,,10.5,13.78,26.0,38.4,Normal
VH-03226,87.7,43.6,9.1,12.96,134.0,35.8,Normal
VH-02236,94.7,41.6,10.1,12.42,144.0,31.0,Normal
VH-07564,91.1,28.4,7.7,13.82,164.0,28.0,Warning
VH-07466,91.8,34.6,11.9,11.7,124.0,35.6,Normal
VH-07521,98.0,40.1,4.3,12.32,148.0,35.4,Normal
VH-05542,99.8,26.9,10.1,,94.0,34.3,Warning
VH-05524,93.7,36.4,7.3,11.75,188.0,32.0,Warning
VH-06560,94.9,34.1,10.8,12.63,155.0,36.6,Normal
VH-01765,93.8,30.2,11.7,13.58,47.0,26.3,Warning
VH-00716,82.5,35.3,7.8,12.43,103.0,31.9,Normal
VH-02376,99.0,42.2,10.7,13.13,22.0,34.4,Normal
VH-02772,93.0,52.0,6.9,12.77,185.0,32.6,Normal
VH-02220,95.7,55.8,10.9,,142.0,34.0,Normal
VH-01689,102.0,49.5,11.6,12.52,128.0,34.5,Critical
VH-02852,105.9,39.4,3.2,12.48,89.0,35.2,Warning
VH-02863,119.5,49.5,5.2,12.81,136.0,25.1,Critical
VH-07992,116.3,33.4,4.2,12.38,55.0,29.1,Warning
VH-00370,95.1,43.6,2.4,12.58,138.0,32.2,Critical
VH-07191,86.4,39.7,2.0,13.37,166.0,33.6,Critical
VH-07276,112.3,21.1,5.0,12.66,92.0,30.7,critical
VH-01238,99.9,38.7,10.3,12.01,5.0,28.4,Normal
VH-03725,106.1,19.5,6.2,12.32,117.0,36.5,Warning
VH-04144,106.4,28.8,6.6,12.72,191.0,35.4,Normal
VH-06571,105.0,43.2,5.6,12.57,40.0,31.3,Normal
VH-03131,89.6,27.7,10.0,11.53,30.0,36.6,Warning
VH-05622,100.3,41.6,7.1,12.59,48.0,34.0,Normal
VH-02462,93.8,48.3,7.0,12.6,59.0,33.4,Normal
VH-05150,108.0,38.5,2.8,12.64,6.0,32.2,Warning
